               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 138,            0.028563,            0.036265,           0.0015551,             0.78092,             0.77504,             0.79315,             0.48034,            0.036128,            0.020003,           0.0029497,           0.0011658,           0.0011658,           0.0011658
                 139,            0.028646,            0.036542,           0.0014244,             0.78364,             0.77504,             0.79229,             0.48134,            0.036098,            0.020021,           0.0029598,           0.0011414,           0.0011414,           0.0011414
                 140,            0.028432,            0.036169,           0.0015571,             0.78225,             0.77504,             0.79245,             0.48213,            0.036079,            0.020029,           0.0029619,           0.0011189,           0.0011189,           0.0011189
                 141,            0.028266,            0.036403,           0.0015033,             0.78484,              0.7746,             0.79304,             0.48193,            0.036073,            0.020052,           0.0029631,           0.0010983,           0.0010983,           0.0010983
                 142,            0.028424,            0.036292,           0.0014476,             0.78541,             0.77493,             0.79237,             0.48233,             0.03605,            0.020069,           0.0029628,           0.0010797,           0.0010797,           0.0010797
                 143,             0.02845,            0.036384,           0.0015331,             0.78572,             0.77504,             0.79223,             0.48325,            0.036024,             0.02009,           0.0029538,            0.001063,            0.001063,            0.001063
                 144,             0.02836,            0.036041,            0.001474,             0.78461,             0.77705,             0.79254,             0.48198,             0.03597,            0.020112,           0.0029441,           0.0010483,           0.0010483,           0.0010483
                 145,            0.028287,            0.036329,           0.0014686,             0.77303,             0.78489,             0.79222,             0.48201,            0.035921,            0.020129,           0.0029354,           0.0010355,           0.0010355,           0.0010355
                 146,            0.028224,            0.035996,           0.0014922,             0.78563,              0.7746,             0.79265,             0.48137,            0.035888,             0.02013,           0.0029395,           0.0010247,           0.0010247,           0.0010247
                 147,            0.028278,            0.035848,           0.0014831,             0.78399,             0.77406,             0.79204,             0.48092,            0.035865,            0.020143,           0.0029435,           0.0010158,           0.0010158,           0.0010158
                 148,            0.028117,            0.035514,           0.0015534,             0.77368,             0.78104,             0.79215,             0.48122,            0.035835,            0.020155,           0.0029375,           0.0010089,           0.0010089,           0.0010089
                 149,            0.028037,            0.035599,           0.0015106,             0.77136,              0.7856,             0.79274,             0.48109,            0.035823,            0.020176,           0.0029338,           0.0010039,           0.0010039,           0.0010039
